id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept,Ploidy,K
SUM-159_NLS_2N_O1_A21_seed,SUM-159,SUM-159_NLS_2N_O1_A20_seedT2,SUM-159_NLS_2N_O1_A21_seed,29,21,9/5/25,0,585949,2N,starvation,0,0.47430589,534578.2583,2,14000000
SUM-159_NLS_2N_O1_A21_seedT1,SUM-159,SUM-159_NLS_2N_O1_A21_seed,SUM-159_NLS_2N_O1_A21_seed,29,21,9/8/25,3,1763418,2N,starvation,0,0.47430589,534578.2583,2,14000000
SUM-159_NLS_2N_O1_A21_seedT2,SUM-159,SUM-159_NLS_2N_O1_A21_seed,SUM-159_NLS_2N_O1_A21_seed,29,21,9/10/25,5,6572434,2N,starvation,0,0.47430589,534578.2583,2,14000000
SUM-159_NLS_2N_O1_A22_seed,SUM-159,SUM-159_NLS_2N_O1_A21_seedT2,SUM-159_NLS_2N_O1_A22_seed,30,22,9/19/25,0,502401,2N,starvation,0,0.706725132,502401,2,14000000
SUM-159_NLS_2N_O1_A22_seedT1,SUM-159,SUM-159_NLS_2N_O1_A22_seed,SUM-159_NLS_2N_O1_A22_seed,30,22,9/22/25,3,4186306,2N,starvation,0,0.706725132,502401,2,14000000
SUM-159_NLS_2N_O1_A3_seedT2,SUM-159,SUM-159_NLS_2N_O1_A3_seed,SUM-159_NLS_2N_O1_A3_seed,11,3,12/2/24,5,7094357,2N,starvation,0.5,0.564954728,474956.2803,2,14000000
SUM-159_NLS_2N_O1_A3_seedT1,SUM-159,SUM-159_NLS_2N_O1_A3_seed,SUM-159_NLS_2N_O1_A3_seed,11,3,11/29/24,2,1989196,2N,starvation,0.5,0.564954728,474956.2803,2,14000000
SUM-159_NLS_2N_O1_A3_seed,SUM-159,SUM-159_NLS_2N_O1_A2_seedT2,SUM-159_NLS_2N_O1_A3_seed,11,3,11/27/24,0,396157,2N,starvation,0.5,0.564954728,474956.2803,2,14000000
SUM-159_NLS_2N_O1_A4_seedT1,SUM-159,SUM-159_NLS_2N_O1_A4_seed,SUM-159_NLS_2N_O1_A4_seed,12,4,12/6/24,2,2552931,2N,starvation,0.3,0.496979907,671364.4803,2,14000000
SUM-159_NLS_2N_O1_A4_seedT2,SUM-159,SUM-159_NLS_2N_O1_A4_seed,SUM-159_NLS_2N_O1_A4_seed,12,4,12/9/24,5,7027045,2N,starvation,0.3,0.496979907,671364.4803,2,14000000
SUM-159_NLS_2N_O1_A4_seed,SUM-159,SUM-159_NLS_2N_O1_A3_seedT2,SUM-159_NLS_2N_O1_A4_seed,12,4,12/4/24,0,546906,2N,starvation,0.3,0.496979907,671364.4803,2,14000000
SUM-159_NLS_2N_O1_A5_seedT2,SUM-159,SUM-159_NLS_2N_O1_A5_seed,SUM-159_NLS_2N_O1_A5_seed,13,5,12/16/24,5,11809671,2N,starvation,0.2,0.541080883,914507.3326,2,14000000
SUM-159_NLS_2N_O1_A5_seedT1,SUM-159,SUM-159_NLS_2N_O1_A5_seed,SUM-159_NLS_2N_O1_A5_seed,13,5,12/13/24,2,3898460,2N,starvation,0.2,0.541080883,914507.3326,2,14000000
SUM-159_NLS_2N_O1_A5_seed,SUM-159,SUM-159_NLS_2N_O1_A4_seedT2,SUM-159_NLS_2N_O1_A5_seed,13,5,12/11/24,0,733415,2N,starvation,0.2,0.541080883,914507.3326,2,14000000
SUM-159_NLS_2N_O1_A6_seedT1,SUM-159,SUM-159_NLS_2N_O1_A6_seed,SUM-159_NLS_2N_O1_A6_seed,14,6,12/20/24,2,2397273,2N,starvation,0.1,0.550021802,581539.8299,2,14000000
SUM-159_NLS_2N_O1_A6_seedT2,SUM-159,SUM-159_NLS_2N_O1_A6_seed,SUM-159_NLS_2N_O1_A6_seed,14,6,12/23/24,5,8016385,2N,starvation,0.1,0.550021802,581539.8299,2,14000000
SUM-159_NLS_2N_O1_A6_seed,SUM-159,SUM-159_NLS_2N_O1_A5_seedT2,SUM-159_NLS_2N_O1_A6_seed,14,6,12/18/24,0,480997,2N,starvation,0.1,0.550021802,581539.8299,2,14000000
SUM-159_NLS_2N_O1_A7_seed,SUM-159,SUM-159_NLS_2N_O1_A6_seedT2,SUM-159_NLS_2N_O1_A7_seed,15,7,12/25/24,0,365305,2N,starvation,0,0.563777709,516897.8991,2,14000000
SUM-159_NLS_2N_O1_A7_seedT1,SUM-159,SUM-159_NLS_2N_O1_A7_seed,SUM-159_NLS_2N_O1_A7_seed,15,7,12/27/24,2,2846718,2N,starvation,0,0.563777709,516897.8991,2,14000000
SUM-159_NLS_2N_O1_A7_seedT2,SUM-159,SUM-159_NLS_2N_O1_A7_seed,SUM-159_NLS_2N_O1_A7_seed,15,7,12/30/24,5,6872790,2N,starvation,0,0.563777709,516897.8991,2,14000000
SUM-159_NLS_2N_O1_A8_seed,SUM-159,SUM-159_NLS_2N_O1_A7_seedT2,SUM-159_NLS_2N_O1_A8_seed,16,8,5/8/25,0,273453,2N,starvation,0,0.664335909,313259.097,2,14000000
SUM-159_NLS_2N_O1_A8_seedT1,SUM-159,SUM-159_NLS_2N_O1_A8_seed,SUM-159_NLS_2N_O1_A8_seed,16,8,5/9/25,1,729652,2N,starvation,0,0.664335909,313259.097,2,14000000
SUM-159_NLS_2N_O1_A8_seedT2,SUM-159,SUM-159_NLS_2N_O1_A8_seed,SUM-159_NLS_2N_O1_A8_seed,16,8,5/12/25,4,4268740,2N,starvation,0,0.664335909,313259.097,2,14000000
SUM-159_NLS_2N_O1_A9_seed,SUM-159,SUM-159_NLS_2N_O1_A8_seedT2,SUM-159_NLS_2N_O1_A9_seed,17,9,5/14/25,0,433335,2N,starvation,0,0.435214147,459974.998,2,14000000
SUM-159_NLS_2N_O1_A9_seedT1,SUM-159,SUM-159_NLS_2N_O1_A9_seed,SUM-159_NLS_2N_O1_A9_seed,17,9,5/16/25,2,1072755,2N,starvation,0,0.435214147,459974.998,2,14000000
SUM-159_NLS_2N_O1_A9_seedT2,SUM-159,SUM-159_NLS_2N_O1_A9_seed,SUM-159_NLS_2N_O1_A9_seed,17,9,5/19/25,5,5298050,2N,starvation,0,0.435214147,459974.998,2,14000000
SUM-159_NLS_2N_O1_A9_seedT3,SUM-159,SUM-159_NLS_2N_O1_A9_seed,SUM-159_NLS_2N_O1_A9_seed,17,9,5/21/25,7,8047333,2N,starvation,0,0.435214147,459974.998,2,14000000
SUM-159_NLS_2N_O2_A1_seedT1,SUM-159,SUM-159_NLS_2N_O2_A1_seed,SUM-159_NLS_2N_O2_A1_seed,6,1,11/18/24,3,6323079,2N,starvation,2,0.795988317,580562,2,14000000
SUM-159_NLS_2N_O2_A1_seed,SUM-159,SUM-159_NLS_2N_dp_seedT1,SUM-159_NLS_2N_O2_A1_seed,6,1,11/15/24,0,580562,2N,starvation,2,0.795988317,580562,2,14000000
SUM-159_NLS_2N_O2_A10_seed,SUM-159,SUM-159_NLS_2N_O2_A9_seedT3,SUM-159_NLS_2N_O2_A10_seed,15,10,5/23/25,0,675067,2N,starvation,0,0.459209607,708921.9013,2,14000000
SUM-159_NLS_2N_O2_A10_seedT1,SUM-159,SUM-159_NLS_2N_O2_A10_seed,SUM-159_NLS_2N_O2_A10_seed,15,10,5/26/25,3,3177048,2N,starvation,0,0.459209607,708921.9013,2,14000000
SUM-159_NLS_2N_O2_A10_seedT2,SUM-159,SUM-159_NLS_2N_O2_A10_seed,SUM-159_NLS_2N_O2_A10_seed,15,10,5/28/25,5,6544585,2N,starvation,0,0.459209607,708921.9013,2,14000000
SUM-159_NLS_2N_O2_A11_seed,SUM-159,SUM-159_NLS_2N_O2_A10_seedT2,SUM-159_NLS_2N_O2_A11_seed,16,11,5/30/25,0,520225,2N,starvation,0,0.477939109,518402.3532,2,14000000
SUM-159_NLS_2N_O2_A11_seedT1,SUM-159,SUM-159_NLS_2N_O2_A11_seed,SUM-159_NLS_2N_O2_A11_seed,16,11,6/2/25,3,2155536,2N,starvation,0,0.477939109,518402.3532,2,14000000
SUM-159_NLS_2N_O2_A11_seedT2,SUM-159,SUM-159_NLS_2N_O2_A11_seed,SUM-159_NLS_2N_O2_A11_seed,16,11,6/4/25,5,5685713,2N,starvation,0,0.477939109,518402.3532,2,14000000
SUM-159_NLS_2N_O2_A12_seed,SUM-159,SUM-159_NLS_2N_O2_A11_seedT2,SUM-159_NLS_2N_O2_A12_seed,17,12,6/6/25,0,364269,2N,starvation,0,0.437439056,363340.2033,2,14000000
SUM-159_NLS_2N_O2_A12_seedT1,SUM-159,SUM-159_NLS_2N_O2_A12_seed,SUM-159_NLS_2N_O2_A12_seed,17,12,6/9/25,3,1252104,2N,starvation,0,0.437439056,363340.2033,2,14000000
SUM-159_NLS_2N_O2_A12_seedT2,SUM-159,SUM-159_NLS_2N_O2_A12_seed,SUM-159_NLS_2N_O2_A12_seed,17,12,6/11/25,5,3728464,2N,starvation,0,0.437439056,363340.2033,2,14000000
SUM-159_NLS_2N_O2_A12_seedT3,SUM-159,SUM-159_NLS_2N_O2_A12_seed,SUM-159_NLS_2N_O2_A12_seed,17,12,6/13/25,7,7249729,2N,starvation,0,0.437439056,363340.2033,2,14000000
SUM-159_NLS_2N_O2_A13_seed,SUM-159,SUM-159_NLS_2N_O2_A12_seedT3,SUM-159_NLS_2N_O2_A13_seed,18,13,6/14/25,0,563670,2N,starvation,0,0.455260826,537349.1465,2,14000000
SUM-159_NLS_2N_O2_A13_seedT1,SUM-159,SUM-159_NLS_2N_O2_A13_seed,SUM-159_NLS_2N_O2_A13_seed,18,13,6/16/25,2,1243193,2N,starvation,0,0.455260826,537349.1465,2,14000000
SUM-159_NLS_2N_O2_A13_seedT3,SUM-159,SUM-159_NLS_2N_O2_A13_seed,SUM-159_NLS_2N_O2_A13_seed,18,13,6/20/25,6,8451705,2N,starvation,0,0.455260826,537349.1465,2,14000000
SUM-159_NLS_2N_O2_A14_seed,SUM-159,SUM-159_NLS_2N_O2_A13_seedT3,SUM-159_NLS_2N_O2_A14_seed,19,14,6/25/25,0,455615,2N,starvation,0,0.39834555,428209.1185,2,14000000
SUM-159_NLS_2N_O2_A14_seedT1,SUM-159,SUM-159_NLS_2N_O2_A14_seed,SUM-159_NLS_2N_O2_A14_seed,19,14,6/27/25,2,796490,2N,starvation,0,0.39834555,428209.1185,2,14000000
SUM-159_NLS_2N_O2_A14_seedT2,SUM-159,SUM-159_NLS_2N_O2_A14_seed,SUM-159_NLS_2N_O2_A14_seed,19,14,6/30/25,5,3922295,2N,starvation,0,0.39834555,428209.1185,2,14000000
SUM-159_NLS_2N_O2_A14_seedT3,SUM-159,SUM-159_NLS_2N_O2_A14_seed,SUM-159_NLS_2N_O2_A14_seed,19,14,7/2/25,7,6241585,2N,starvation,0,0.39834555,428209.1185,2,14000000
SUM-159_NLS_2N_O2_A15_seed,SUM-159,SUM-159_NLS_2N_O2_A14_seedT3,SUM-159_NLS_2N_O2_A15_seed,20,15,7/5/25,0,915685,2N,starvation,0,0.478442191,959463.1559,2,14000000
SUM-159_NLS_2N_O2_A15_seedT1,SUM-159,SUM-159_NLS_2N_O2_A15_seed,SUM-159_NLS_2N_O2_A15_seed,20,15,7/7/25,2,2742599,2N,starvation,0,0.478442191,959463.1559,2,14000000
SUM-159_NLS_2N_O2_A15_seedT2,SUM-159,SUM-159_NLS_2N_O2_A15_seed,SUM-159_NLS_2N_O2_A15_seed,20,15,7/9/25,4,6207051,2N,starvation,0,0.478442191,959463.1559,2,14000000
SUM-159_NLS_2N_O2_A16_seed,SUM-159,SUM-159_NLS_2N_O2_A15_seedT2,SUM-159_NLS_2N_O2_A16_seed,21,16,7/26/25,0,467868,2N,starvation,0,0.265837403,726065.9001,2,14000000
SUM-159_NLS_2N_O2_A16_seedT1,SUM-159,SUM-159_NLS_2N_O2_A16_seed,SUM-159_NLS_2N_O2_A16_seed,21,16,7/28/25,2,1684326,2N,starvation,0,0.265837403,726065.9001,2,14000000
